,Av,Av_err,age,age_err,d_kpc,dkpc_err,eep,eep_err,feh,feh_err,BV,B,V,jmag,hmag,kmag,logg,teff,logL,parallax,mass,prot
793,0.9158143481907439,0.01,9.602473901724794,1.920494780344959,0.30467377479259766,0.030467377479259768,388.8649170743807,0.1,0.09554667085321306,0.01,0.8307137354794811,13.067458797494249,12.236745062014768,10.566902498894462,10.189929468949884,10.11086217124721,4.251780655612272,6057.82496646755,0.3327370241192178,3.2821991347326684,1.1562695626842439,28.405745156536614
796,0.13574585309990106,0.01,9.172194446128923,1.8344388892257848,0.1726439748396852,0.01726439748396852,399.15216559786444,0.1,0.012916750380581765,0.01,0.4512042070522604,8.42399290518546,7.972788698133199,7.1224883114758555,6.9103174636724845,6.879038914768952,3.71241489885514,6604.082479162475,1.214581489565773,5.792267010352294,1.799943921692127,2.76556772513773
800,0.2994231248031066,0.01,10.049219343772334,2.009843868754467,0.1326075664387593,0.01326075664387593,467.60289851535185,0.1,-0.08145695459468466,0.01,0.9131581325174807,10.688576376452998,9.775418243935517,8.123927818240869,7.638843090220051,7.566238176817707,3.823485043440641,5176.837583419708,0.41310179735686287,7.541047821444028,0.9722828717931802,53.150421331582784
801,0.10015499750676693,0.01,10.105736085714891,2.0211472171429783,0.07983028121702698,0.007983028121702698,405.189882445817,0.1,0.17532629146052642,0.01,0.809272935085044,10.559528344183391,9.750255409098347,8.358640467205998,7.94581808910188,7.88836719505275,4.380137784143739,5378.213525485847,-0.12080430958935427,12.526574938166574,0.8813743250791776,52.77113487966308
802,0.2717175988981797,0.01,10.121887050355081,2.024377410071016,0.9103352086490177,0.09103352086490178,295.6766514230883,0.1,0.12749609179362031,0.01,1.4199467101339138,22.884249858578688,21.464303148444774,17.40997347192323,16.7365841583774,16.514600128070235,4.897562566360875,3368.0785214052707,-1.8561480723196333,1.098496455480448,0.34613597744675073,73.28071702075269
803,0.8159557894152066,0.01,10.129104123130638,2.025820824626128,0.19822747865551862,0.019822747865551864,279.5126406669817,0.1,0.1934268826054652,0.01,1.6021935196823414,20.917772709597685,19.315579189915344,14.555831919283198,13.835587373172308,13.577474199116844,4.9238401620051375,3261.194329641298,-1.999263224213059,5.044709274327241,0.30106489213808246,78.0081793305208
804,0.37831560716525947,0.01,9.8773543609797,1.97547087219594,0.8230376530141073,0.08230376530141073,294.6654204775671,0.1,-0.09613166441983441,0.01,1.505313990625666,21.907584273363426,20.40227028273776,16.980414700654617,16.280088554119843,16.058079493923582,4.906266171715983,3603.2053516019496,-1.7159288701465887,1.2150112407832445,0.37263113929706787,55.18908776427494
805,0.08839696714675838,0.01,10.136519437740105,2.027303887548021,0.5491845623960645,0.05491845623960645,415.7762563866368,0.1,0.1878894531191908,0.01,0.7780116159692696,14.46575315887576,13.68774154290649,12.34833722319414,11.95304015602647,11.899075683785636,4.327716376967382,5456.3502608494855,-0.03254591715889517,1.8208814822416903,0.90265818483342,53.342251348675184
806,0.34222552477890456,0.01,10.030344161678675,2.006068832335735,0.0870779544126819,0.008707795441268191,383.4906241550681,0.1,-0.027506452083376848,0.01,0.8018751396348662,11.067934128860134,10.266058989225268,8.77137189551609,8.352084481122512,8.290470456287954,4.44678300615971,5520.453945726714,-0.16166367055137834,11.483962924310054,0.8436083399306776,47.65733374159008
807,0.9813833342412801,0.01,9.428550155069752,1.8857100310139505,0.9558937095236868,0.09558937095236869,247.78073684222835,0.1,-0.060992481874498156,0.01,1.700656963541384,23.64884390936877,21.948186945827388,17.888103266289928,17.129845340393214,16.872230207152008,4.970434226958894,3512.00101531951,-1.902132695578129,1.0461414172275398,0.3116716198683375,32.95151754549751
808,0.6296835952592029,0.01,9.841243774847872,1.9682487549695744,0.2544915553219736,0.02544915553219736,244.62116057021404,0.1,-0.17986018921225871,0.01,1.6940575238271443,22.42759157198881,20.733534048161665,16.266921880475884,15.535476807069244,15.283178623928967,5.114636766961256,3238.224547487904,-2.4763479281667378,3.929403467768649,0.16204796678219316,55.48104221758511
810,0.16653851349727,0.01,9.584228775738225,1.9168457551476452,0.17712190572671854,0.017712190572671854,383.18627511488137,0.1,0.07680450237866188,0.01,0.5899464671166914,10.741182531432987,10.151236064316295,9.068600845147866,8.77819547172055,8.73959924150632,4.222136626796302,6117.254695672068,0.3945617579147843,5.645829045803631,1.1978858420942056,20.353261814623117
811,0.9861767972836948,0.01,9.961340634292345,1.992268126858469,0.8554034533204343,0.08554034533204344,412.84620873319477,0.1,-0.016828402226388844,0.01,0.8946470994758187,15.977803394683967,15.083156295208148,13.25693511197792,12.827216155869433,12.741524988880574,4.292156399684587,5832.030062621098,0.13516575063982988,1.1690390027282247,0.9367783323049395,46.95503125073341
812,0.8208490092631288,0.01,9.977682755326132,1.9955365510652265,0.023096524776241044,0.0023096524776241045,270.53823207262616,0.1,-0.10939134958555773,0.01,1.657885689940807,15.436800193917493,13.778914503976686,9.813686509766105,9.071425618730059,8.82155705576533,4.959589470846585,3497.2151791812616,-1.923854313391149,43.296556936075554,0.2944690358460877,65.34517358223604
815,0.05662555737755803,0.01,10.03810185025175,2.00762037005035,0.9354475623178555,0.09354475623178556,470.8401099308337,0.1,0.03105270173776903,0.01,0.9678146400126018,14.856396493232253,13.888581853219652,12.256130514161441,11.745783971524716,11.670806995002456,3.778291035023739,4938.051580727999,0.39924606011134506,1.0690070082840306,1.0251126364758085,54.2512875390268
816,0.12037814950553383,0.01,9.859444026153271,1.9718888052306545,0.9101101148444222,0.09101101148444223,279.2017615810648,0.1,-0.05631650120692386,0.01,1.4365898799070145,22.20558357025551,20.768993690348495,17.40334719006381,16.73268465936399,16.521335588447265,4.938940122914045,3538.228288262104,-1.833510337219676,1.098768142106567,0.32970611692567287,52.83680753990122
817,0.5807685836144216,0.01,8.821770280022367,1.7643540560044735,0.8214286208521685,0.08214286208521686,414.2285971338681,0.1,0.12942089064472762,0.01,0.2427108347027236,10.532075427947838,10.289364593245114,9.725053949198728,9.639811933985614,9.601758153665868,3.6664717098127766,8511.272613014802,1.8323565505664374,1.2173912311000041,2.433931333285952,
818,0.9287634212054924,0.01,8.793803882919416,1.7587607765838833,0.889309436164691,0.08893094361646911,373.0291171234652,0.1,0.12827846430671175,0.01,0.3712556303174992,11.566763256938492,11.195507626620993,10.339134472875386,10.211453723224349,10.154018708009438,3.7914254198307757,8386.846470343346,1.673073341435546,1.1244679965532383,2.3852758089413317,
819,0.4967434280059845,0.01,9.725903153967266,1.9451806307934534,0.20722748897870574,0.020722748897870576,303.8527973010753,0.1,-0.009059840751039466,0.01,1.4674516015005885,17.381805422037747,15.914353820537158,12.933420974713007,12.178674214575976,11.991438280065427,4.748143704791276,3942.19083832518,-1.2384198575722531,4.825614617676315,0.5436513011676112,45.043900609659595
820,0.8429454824561972,0.01,10.114064267237806,2.022812853447561,0.29134245275461146,0.029134245275461147,253.6208697257332,0.1,-0.059672356265993765,0.01,1.801768887096081,23.961670328371184,22.159901441275103,17.089306487949575,16.32396755355953,16.05860297321236,5.171039659463549,3120.9690171736665,-2.6886100566728914,3.4323868373630684,0.13193784507713907,80.42204210477072
821,0.4458866198598078,0.01,9.554747906024518,1.9109495812049038,0.29607883967184795,0.029607883967184796,229.59512917543083,0.1,-0.0549760813763622,0.01,1.6671536574980657,23.154851203760863,21.487697546262797,16.86895330832602,16.14936826731145,15.905300463684933,5.152317889234136,3159.2496108959895,-2.618467951162167,3.377478786083891,0.14085441514978433,38.337908476419855
822,0.7085835457678252,0.01,9.957315574960147,1.9914631149920294,0.38328339169168185,0.03832833916916819,370.27869589107695,0.1,0.12228581026728719,0.01,1.0208872367955344,15.117339612728124,14.09645237593259,12.198707857572673,11.703995193639733,11.611426082291105,4.474049475619008,5293.048244590515,-0.24433385207964534,2.609035563963108,0.8776984089465614,50.47939730014427
823,0.7318727372865008,0.01,9.543822816434286,1.9087645632868573,0.3993874636813368,0.03993874636813369,415.77062748176957,0.1,-0.06872820688095521,0.01,0.632454423314682,12.172612483282117,11.540158059967435,10.195049030727912,9.895514316382949,9.836346636987304,3.9925255385873304,6523.195394890746,0.7696872351088885,2.5038342234945055,1.2938881548061003,20.995218720245973
824,0.17396370590333865,0.01,9.685073652630308,1.9370147305260617,0.5491097714081288,0.05491097714081288,378.5127122592222,0.1,-0.1163762505172616,0.01,0.5746592685617831,13.682655737449588,13.107996468887805,12.010342545999798,11.707344684392025,11.671249879037338,4.34253344263233,6109.648730289108,0.20649412092750166,1.821129493717832,1.0287714972165505,22.311312458438866
825,0.36121605897581177,0.01,10.077315867132201,2.0154631734264403,0.16828096573277698,0.0168280965732777,346.1361079760101,0.1,-0.1661246632498773,0.01,1.0893408956208237,14.3870642087622,13.297723313141375,11.256948475965936,10.634932984152037,10.538030772378663,4.603484505238862,4711.440136528655,-0.6815885485863554,5.94244272158479,0.6873150852044287,60.86404172212681
827,0.07069660818436618,0.01,9.252340854501174,1.8504681709002349,0.17589087391146144,0.017589087391146143,471.01930161439935,0.1,-0.00714716043206326,0.01,0.6845309350484126,9.04820647175559,8.363675536707177,7.1472210441282975,6.792371663205416,6.746555109870521,3.5309239788268276,5657.693656259048,1.086608285743267,5.685343291337401,1.638199529945843,15.689514437962687
828,0.3615401877629566,0.01,9.79847642895894,1.9596952857917882,0.31720539728350206,0.031720539728350206,422.63354462155377,0.1,0.1363634841611629,0.01,0.699604006884142,12.321558839495179,11.621954832611037,10.317115712178152,9.980987065864223,9.927481591052556,4.148148924722386,5941.762254636592,0.3960702796340221,3.152531478227815,1.1382736819399295,31.942581284372526
829,0.5347994662811925,0.01,8.951236370428688,1.7902472740857378,0.5083116793000925,0.05083116793000925,278.45428045977496,0.1,-0.11150452142157441,0.01,1.116024067539776,16.867116321881966,15.75109225434219,13.648501387990876,13.036555174663448,12.93451299378308,4.640150045864446,4798.721502801233,-0.6522846604608574,1.9672969178613522,0.746456780756442,14.808868314629605
830,0.9962244930446387,0.01,9.844602474251365,1.9689204948502732,0.7984761559082425,0.07984761559082426,474.2915438672724,0.1,-0.04760349053264004,0.01,1.1578552256060615,15.127606788745494,13.969751563139432,11.741264011628834,11.163633693461012,11.0505069504009,3.6790169833528528,5088.175659107179,0.5838613018831644,1.252385550401978,1.1068160522557484,46.78149854012597
831,0.47453356262244073,0.01,9.975103512149888,1.9950207024299775,0.74207454090634,0.07420745409063399,366.5362530463518,0.1,0.12336229555747641,0.01,0.9697894535414004,16.37032502833293,15.400535574791528,13.646583272623113,13.164253636427116,13.081805554019024,4.486568658452832,5240.558736362401,-0.2796506394826869,1.3475735183943116,0.867001043718117,50.15028861029262
