,Unnamed: 0,source_id,EPIC,ra,dec,G,G_err,bp,rp,parallax,parallax_err,BP_err,RP_err,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,prot
102,16017,659488349947010176,211891961,130.07095139638895,18.60823001231182,17.299139,0.01,18.906635,16.01531,5.3859630294482015,0.19513859045813547,0.2,0.01,HSHJ310,0.22,18.09,13.35, 1.59, 0.0835,0,Y, 0.00736,       ,       , ,N,Y,N,    , 0.02766, 0.91470,2,17.5,0,2,All,2M,Simbad,130.071126,18.608282,1.59
106,16035,660230348496832128,211892240,132.09373744008982,18.612387577400177,15.861176,0.002,17.169027,14.717236499999999,5.311321687609054,0.06019999070537066,0.2,0.01,       ,0.38,16.35,12.32,21.32, 0.8032,0,Y, 0.00812,       ,       , ,N,N,Y,    , 0.02982, 1.24416,2,15.42,0,1,All,2M,Simbad,132.093862,18.612417999999998,21.32
107,16049,659485807326329600,211892510,129.918980922173,18.61625721828641,17.083097,0.01,18.806831,15.775610999999998,5.284283108294338,0.1573246342898869,0.2,0.01,HSHJ282,0.26,17.9,13.0, 1.42, 0.0478,0,Y, 0.00593, 0.4121, 0.0091,0,Y,N,N,    , 0.02425, 0.91627,2,17.28,0,2,All,2M,Simbad,129.919161,18.616325,1.42
112,16114,659488826687020672,211893704,130.0798756916228,18.633994932994337,18.636337,0.01,20.065718,17.194226999999998,5.105933351214026,0.32982663630888204,0.2,0.2,HSHJ312,0.16,19.61,14.3, 0.78, 0.3940,0,Y, 0.00746,       ,       , ,N,M,N,    , 0.07077, 2.16358,2,18.79,0,2,All,2M,Simbad,130.08004,18.634039,0.78
114,16131,659674197475355392,211894087,129.83055423957293,18.63954648089561,19.071306,0.01,21.036417,17.639485999999998,5.5572268423592055,0.5142004342800905,0.2,0.2,IZ063  ,0.15,20.11,14.53, 1.16, 0.1569,0,Y, 0.00732,       ,       , ,N,N,M,    , 0.04832, 1.62033,2,17.13,0,1,All,2M,Simbad,129.83071999999999,18.639566000000002,1.16
116,16186,659665096441437184,211895099,129.38765841668294,18.654281509580837,10.531589,0.0003,10.842386999999999,10.084978,5.4528326343354925,0.0569535854508296,0.002,0.002,KW541  ,1.17,10.5,9.28, 7.31, 0.6152,0,Y, 0.00816, 3.6866, 0.2026,1,M,Y,N,    , 0.01000, 0.47471,D,10.57,2,1,All,2M,Simbad,129.38783,18.654311,7.31
117,16228,659668635494494848,211895966,129.26544606712628,18.667302844503137,13.590301,0.002,14.361049,12.74347,5.426339569566225,0.034660329497339215,0.01,0.002,JS165  ,0.67,13.59,10.89,14.73, 0.6767,0,Y, 0.00894,       ,       , ,N,Y,N,    , 0.00353, 0.14359,2,13.61,1,2,All,2M,Simbad,129.265612,18.667351,14.73
120,16258,659490510313883264,211896418,130.1398267833588,18.67443892802485,11.453332000000001,0.0003,11.861166,10.916205999999999,5.311627254832636,0.060308598873331634,0.002,0.002,KW546  ,1.03,11.4,9.83, 9.66, 0.6876,0,Y, 0.00719,       ,       , ,N,Y,N,    , 0.00795, 0.37988,K,11.41,1,2,All,2M,Simbad,130.13998899999999,18.674485,9.66
122,16265,659489999214441216,211896450,130.24423700709207,18.675000427000032,13.223365,0.002,13.985364,12.374147,6.553443927528133,0.2469673196083131,0.01,0.002,JS401  ,0.84,13.25,10.49,12.47, 0.6680,0,Y, 0.00825,       ,       , ,N,N,N,cand, 0.01050, 0.42574,K,13.21,1,2,All,2M,Simbad,130.244412,18.675047,12.47
124,16278,660225916090501376,211896596,132.00707149073116,18.67707182950044,10.246216,0.0003,10.6058235,9.749912,5.363914846768619,0.045587428014569005,0.002,0.002,JS655  ,1.3,10.22,8.81, 2.97, 0.3504,0,Y, 0.00998,       ,       , ,N,Y,N,conf, 0.01303, 0.37027,K,10.27,1,1,All,2M,Simbad,132.007256,18.677123,2.97
