,KOI,feh,feh_errm,feh_errp,logg,logg_errm,logg_errp,period,period_errm,period_errp,teff,teff_errm,teff_errp
485,1818,-0.52,-0.26,0.36,4.444,-0.32,0.122,15.718694659798482,1.0021001868848198,1.0022076785775182,5622.0,-136.0,174.0
486,1819,-0.68,-0.28,0.36,4.555,-0.478,0.076,12.9459096330842,1.0014820508288478,1.0015082673396372,5374.0,-146.0,172.0
487,1820,-0.06,-0.3,0.24,4.011,-0.212,0.308,19.766323141885227,1.0026521115191642,1.0022797088431097,6197.0,-188.0,160.0
488,1822,-0.28,-0.28,0.3,4.562,-0.247,0.031,11.688896838170784,1.0044168456893905,1.0048951632626881,5771.0,-144.0,152.0
489,1824,0.02,-0.16,0.12,4.527,-0.147,0.017,21.309574227451424,1.0363973873126417,1.0458087436884416,5763.0,-114.0,119.0
490,1825,-0.08,-0.32,0.22,4.374,-0.321,0.083,10.46396230376518,1.005738594740808,1.0100300325161489,6237.0,-242.0,177.0
491,1826,-0.32,-0.32,0.22,4.22,-0.299,0.136,22.533034699033706,1.0435144161419032,1.0469950034929618,6763.0,-241.0,165.0
492,1831,-0.18,-0.14,0.16,4.551,-0.040999999999999995,0.042,13.889170631725369,1.0164834563696878,1.0218921548325575,5153.0,-98.0,105.0
493,1835,-0.04,-0.3,0.22,4.376,-0.307,0.084,9.715337520521663,1.0013941434851776,1.0014005677534898,6112.0,-199.0,152.0
494,1837,-0.24,-0.28,0.24,4.446000000000001,-0.311,0.043,17.88919783656827,1.0013113474414586,1.0013539883520273,6341.0,-192.0,164.0
495,1839,0.35,-0.101,0.101,4.399,-0.012,0.012,6.3002073953679325,1.0016971843074207,1.0017526901050435,5739.0,-75.0,75.0
496,1841,-0.14,-0.3,0.24,3.972,-0.20800000000000002,0.287,25.751081052270926,1.002095294295879,1.002168128776424,6461.0,-202.0,158.0
497,1848,-0.38,-0.26,0.3,4.459,-0.27,0.08199999999999999,18.758403911468587,1.0033947129787775,1.0036141846301716,5869.0,-154.0,161.0
498,1850,-0.18,-0.3,0.24,4.248,-0.312,0.14400000000000002,24.361732323395206,1.005261450159383,1.005356729499239,6437.0,-205.0,151.0
499,1852,-0.2,-0.3,0.3,4.136,-0.013000000000000001,0.012,6.9261548039577985,1.0150815096498567,1.01603552920184,6109.0,-51.0,51.0
500,1854,-0.2,-0.3,0.3,4.225,-0.015,0.013999999999999999,25.401858601990703,1.0033976525364094,1.0031145436145836,5998.0,-57.0,57.0
501,1856,-0.14,-0.28,0.24,4.53,-0.276,0.028999999999999998,28.276214411614173,1.0026839695439551,1.002562876933022,5883.0,-159.0,156.0
502,1857,-0.22,-0.32,0.22,4.325,-0.321,0.091,23.716317633545295,1.0314429382155506,1.0527724977716275,6522.0,-206.0,158.0
503,1858,0.0,-0.08,0.08,4.138,-0.026000000000000002,0.026000000000000002,18.725373210502383,1.002140114818412,1.002024234130872,6225.0,-75.0,75.0
504,1860,0.09,-0.109,0.109,4.236000000000001,-0.01,0.01,21.63524848741506,1.0031572867615997,1.0038855019152813,6463.0,-110.0,110.0
